DRUG CANDIDATE,SN503,SN504,SN505,SN508,SN512*,SN515,SN517,SN520,SN521,SN528,SN529,SN531,SN533,SN534,SN535,SN553,SN575,SN579,SN598,SN601,SN649,SN655,SN667,SN674,SN677,SN678,SN683,SN704,SN711,SN720,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,SN835,SN836
Albendazole,0.000757548,0.000810382,0.000875484,0.000705732,0.000688144,0.000638525,0.000696039,0.000726922,0.0007264,0.000466521,0.000844044,0.000557147,0.000435352,0.000591674,0.000606418,0.000433003,0.000409489,0.000817714,0.000747608,0.000658574,0.000613747,0.000163211,0.001030025,0.000685646,0.000734307,0.001179001,0.000283381,0.000604548,0.000523973,0.000596546,0.000489371,0.00065655,0.000895276,0.00086733,0.001066229,0.000180126,0.001077471,0.000801258,0.000797522,0.00117336,0.001120717,0.000789996,0.000657332,0.000580891,0.000713751
Aprepitant,0.000932689,0.001001464,0.00110101,0.00075065,0.00079877,0.000936174,0.00104294,0.001097553,0.000819958,0.000771268,0.00096001,0.000874155,0.00096118,0.001041575,0.000999436,0.001094642,0.001092025,0.000966353,0.000812808,0.000804083,0.000961432,0.000879108,0.000969754,0.001185607,0.001174522,0.001219999,0.001174817,0.000790595,0.000794415,0.001013297,0.00064145,0.000734994,0.000882049,0.000905866,0.000927337,0.000893518,0.000805694,0.000919008,0.000868441,0.00101005,0.000942365,0.000788714,0.000628081,0.001057386,0.00100886
Atorvastatin calcium,0.001181989,0.001144492,0.000972958,0.000819958,0.00104341,0.000941378,0.000980426,0.000488062,0.000890211,0.00068262,0.00101619,0.000886378,0.000597353,0.000910818,0.000886023,0.000132661,0.000693975,0.000697522,0.000764611,0.000721894,0.000888537,0.000384364,0.000764498,0.00095862,0.000636066,0.001219999,0.000778283,0.000901518,0.000683302,0.0007621,0.000769234,0.000846605,0.000962597,0.000788796,0.000875439,0.000387335,0.000885744,0.000713294,0.00069358,0.00094306,0.00097084,0.000716321,0.000832061,0.000627914,0.000457005
Auranofin,0.00051046,0.000468366,0.000751467,0.000161479,0.000409542,0.000314474,0.000370021,0.00022504,0.000339018,0.000207055,0.000390682,0.000326131,0.000208784,0.000232097,0.000141229,0.00010203,0.000281051,0.000201213,0.000620259,0.00057867,0.000131086,0.000112415,0.000209405,0.00023336,0.000177289,0.001026493,0.000186387,0.000660981,0.000198781,0.000342701,8.39E-05,0.00029151,0.000419727,0.000107629,0.000221782,8.84E-05,0.000245294,6.56E-05,0.000213901,0.000304062,0.000448188,0.000225433,0.000356468,0.000195792,0.000176489
Bleomycin,0.000984204,0.001067419,0.001053322,0.00088878,0.000852093,0.000686332,0.0008933,0.000925291,0.000550938,0.000680911,0.001123722,0.000746167,0.000733836,0.001063862,0.000881163,0.000614583,0.000460274,0.000866316,0.000908501,0.000824994,0.000529068,0.000335817,0.000740803,0.000597871,0.000315684,0.001219999,0.000522629,0.000716132,0.000710849,0.00082,0.000810065,0.000831272,0.001179999,0.000884092,0.000808089,0.00035036,0.000890034,0.000695964,0.000874928,0.000986325,0.000938454,0.000958097,0.001154958,0.000628559,0.000461403
Bortezomib,5.61E-06,1.31E-06,1.22E-05,2.50E-06,6.00E-07,7.27E-07,6.14E-07,7.39E-07,6.63E-07,5.80E-05,1.41E-06,8.44E-05,5.26E-05,6.12E-07,6.21E-07,2.04E-05,2.07E-05,3.78E-05,2.08E-05,2.03E-05,2.06E-05,1.25E-05,2.03E-05,2.22E-05,2.04E-05,2.04E-05,2.05E-05,-1.90E-05,8.63E-06,2.02E-05,7.78E-06,-1.93E-05,2.04E-05,2.05E-05,2.07E-05,1.48E-07,2.03E-05,4.24E-06,2.06E-05,2.30E-05,2.10E-05,2.07E-05,2.14E-05,2.03E-05,2.04E-05
Brompheniramine maleate,0.001061479,0.001043747,0.001219938,0.00099126,0.001014813,0.000999451,0.001219938,0.001219935,0.001139718,0.000948436,0.001219938,0.001009064,0.001142485,0.001168379,0.001147711,0.001219999,0.001146025,0.00107916,0.001029137,0.00082,0.001130677,0.000999993,0.000959288,0.00104782,0.00082,0.001219999,0.000999858,0.001073119,0.001025326,0.001219999,0.00114559,0.001152399,0.001219999,0.001020981,0.00110806,0.000944719,0.00100654,0.001107191,0.001068825,0.000885489,0.001080111,0.000999999,0.001419999,0.000803939,0.000848879
Captopril,0.001025934,0.000847479,0.001161498,0.001015844,0.000937236,0.00096208,0.001077768,N/A,0.000983702,0.000846511,0.001219938,0.000946391,0.001008875,0.00110103,0.001007967,0.00102397,0.000962632,0.000913384,0.000852651,0.000948232,0.000917576,0.000827559,0.00090759,0.000942479,0.000932566,0.000972842,0.000821168,0.000819819,0.000793584,0.001169509,0.000900425,0.000788074,0.000835912,0.000868916,0.000865877,0.000907874,0.000676379,0.000836655,0.0008891,0.001014994,0.000856232,0.000859455,0.000798806,0.000981954,0.001038349
Carboplatin,0.000995611,0.000914453,0.000871032,0.000899025,0.000918144,0.000799162,0.000878742,0.000909539,0.000769845,0.000820018,0.000990625,0.000961532,0.001009978,0.000887062,0.000394088,0.000836546,0.000745449,0.000811862,0.000861212,0.000926406,0.000689901,0.000445129,0.001053829,0.000920789,0.000995636,0.000338949,0.000771055,0.000634214,0.000651747,0.000955874,0.000206897,0.000489433,0.000925417,0.000580142,0.000581792,7.62E-05,0.000326891,0.000181025,0.000199102,0.000722119,0.000545297,0.00035575,0.000711665,0.000269388,0.000581149
Celecoxib,0.001083491,0.001067804,0.001131467,0.001075392,0.00107394,0.000450946,0.001005599,0.001056912,0.001115854,0.00055673,0.000887469,0.000734819,0.001014794,0.000661984,0.000332408,0.000870368,0.000709243,0.000804702,0.001158665,0.001036518,0.001002614,0.000432135,0.000839791,0.000952442,0.000723921,0.001218223,0.000677955,0.001027393,0.00110053,0.001030789,0.00084428,0.001157313,0.001219999,0.001219999,0.001219999,2.75E-05,0.000469183,0.000594479,0.000627644,0.000921853,0.000898211,0.000584469,0.00082,0.000829041,0.000674512
Chloroquine,0.000948282,0.001136664,0.000960037,0.0010488,0.000972404,0.000774745,0.001202945,0.000987837,0.001035042,0.000792275,0.001012211,0.001022402,0.001203426,0.000876878,0.00075045,0.000997799,0.000777757,0.000850391,0.00094338,0.000952275,0.000697524,0.000579463,0.00105034,0.000466154,0.001123902,0.000724157,0.00056156,0.000916067,0.000744916,0.000495693,0.000956775,0.000998637,0.001219999,0.001188476,0.000870652,0.000438976,0.000981547,0.00094898,0.000992917,0.000962461,0.001193199,0.000960157,0.00082,0.001001342,0.00108741
Cidovofir,0.001200262,0.001203924,0.000727873,0.001219938,0.001016244,0.001024203,0.001219938,0.00114338,0.001114101,0.001041799,0.000847546,0.001219938,0.001219938,0.000902359,0.001067332,0.001081812,0.000839686,0.000973483,0.001004675,0.001008143,0.000819995,0.000963853,0.001024068,0.001135335,0.00115809,0.001035378,0.001106986,0.001096061,0.001002761,0.00051126,0.00094882,0.000945008,0.001219999,0.001034187,0.000839502,0.001126587,0.001090235,0.000962584,0.00082,0.000632279,0.001143255,0.001147961,0.001401771,0.000800312,0.001054825
Cladribine,0.001119146,0.00082467,0.001044391,0.000144875,0.000705324,0.000469052,0.000489255,0.00040809,0.000303773,0.000629311,0.000562652,0.000347738,0.000251029,0.000934762,0.000859331,0.000121854,7.26E-05,0.000579958,0.000523644,0.000745934,3.05E-05,3.40E-05,0.000507407,0.000251928,3.68E-05,0.000565308,0.000199478,0.00035999,0.000258078,0.00056748,8.47E-05,0.000519018,0.00086297,0.000460097,0.000658733,4.95E-05,0.00067334,0.00012964,0.000240454,0.000782734,0.000802796,0.000638919,0.000892888,0.000340706,0.000283672
Clofarabine,0.000911181,0.000501055,0.000854492,0.000279408,0.000536882,0.000414483,0.000542846,0.00036745,0.000264047,0.000642246,0.000259849,0.000351286,0.000262576,0.000653023,0.000514473,0.00012917,0.000100003,0.000587581,0.000514642,0.000567368,6.02E-05,6.65E-05,0.00036827,0.00027354,5.87E-05,0.000190072,0.000289384,0.000306067,0.000122557,0.000679534,0.000101956,0.000505297,0.000605147,0.000343539,0.000551074,4.80E-05,0.000559505,0.000148979,0.000237908,0.000388294,0.000717223,0.000504387,0.000622641,0.000241804,8.28E-05
Clofazimine,0.000978833,0.00090426,0.001219938,0.000930263,0.000912204,0.000960565,0.001134979,0.001075744,0.001021638,0.000899949,0.001219931,0.001045621,0.001122258,0.001129295,0.001053809,0.001123766,0.000960849,0.00099736,0.001050434,0.000967958,0.000995972,0.000952822,0.000945509,0.000928599,0.00082,0.00026939,0.000935977,0.001018438,0.00085812,0.001089922,0.000783899,0.000800693,0.001051086,0.000801501,0.000830556,0.000877765,0.000618598,0.000795673,0.000865946,0.000618299,0.000848012,0.000596794,0.001345622,0.00082,0.000919382
Clomipramine,0.000855702,0.000588721,0.000937899,0.000863099,0.00075924,0.000607274,0.00082963,0.000694342,0.000793692,0.000904858,0.001071705,0.000562785,0.000853262,0.000830266,0.00071751,0.000775574,0.00087609,0.000613788,0.000971421,0.001099114,0.000667708,0.000934277,0.000806666,0.000675594,0.000627221,0.000999998,0.000800971,0.000956949,0.000868494,0.000965858,0.001106236,0.000856696,0.001143625,0.00099968,0.00109726,0.000658952,0.000826416,0.000777094,0.001057644,0.001076783,0.000811212,0.000822202,0.001169381,0.00076122,0.000578704
Clonidine HCI,0.001044168,0.001064644,0.001086131,0.000969943,0.001040161,0.001028845,0.001095421,0.00103343,0.001037354,0.00040482,0.000935495,0.001086369,0.00104448,0.000986138,0.000534393,0.000936825,0.000814853,0.000957929,0.000997036,0.001003935,0.001051963,0.000971003,0.001099731,0.00110573,0.001110163,0.000895731,0.001103531,0.001014422,0.001054473,0.001008621,0.000819576,0.000893069,0.001005124,0.001068468,0.001112568,0.000987997,0.001017027,0.001328873,0.001262182,0.001393834,0.001002519,0.000996523,0.000814123,0.000930692,0.000950858
Colchicine,0.000706147,0.001010276,0.001219938,0.000277663,0.000790045,0.000430436,0.001044695,0.000304675,0.000405011,0.000794111,0.001014955,0.000641294,0.000469162,0.000460464,0.000272959,0.000340705,0.000259426,0.000505679,0.001179998,0.00082,0.000143814,0.000198459,0.001051714,0.000583189,9.27E-05,0.001219999,0.000783329,0.00059705,0.000531752,0.000415425,0.000195115,0.000743247,0.000706176,0.000617451,0.000789174,1.16E-05,0.000341742,3.44E-05,0.000507221,0.000864026,0.00082,0.000498173,0.0008,0.000800934,0.000662397
Cyclophosphamide,0.001089775,0.001219938,0.001086658,0.001097656,0.001043869,0.001191278,0.001219938,0.001204705,0.001203457,0.001004673,0.00117268,0.001219938,0.001219938,0.001193467,0.001211588,0.001198727,0.001190855,0.00092978,0.001189325,0.001050247,0.001011935,0.001075178,0.001130936,0.001219999,0.001128201,0.001219999,0.001206773,0.001118627,0.001153525,0.000997506,0.000207691,0.001080968,0.000826877,0.000998779,0.000971733,0.001209999,0.001069053,0.001031718,0.001070493,0.001104214,0.001062707,0.000968289,0.00082,0.001046599,0.001108144
Cytarabine,0.000819958,0.001210046,0.000982928,0.001067159,0.001196318,0.000899775,0.000863757,0.000883566,0.001017818,0.001032953,0.001084088,0.000855061,0.000842494,0.000937171,0.000977676,0.000727237,0.000382816,0.000918622,0.001075928,0.001003009,0.000761767,0.00047252,0.001020973,0.00111689,0.001130268,0.001195155,0.000735446,0.000978324,0.000844549,0.00082,0.000848188,0.001160267,0.001219999,0.001142867,0.00112559,0.000461206,0.001185541,0.000873388,0.000633914,0.000832956,0.001191481,0.000716739,0.000990698,0.000612855,0.000696525
Dactinomycin,0.001052516,0.000631543,0.000326887,0.000691262,0.000357644,0.00077996,0.000117441,0.000296542,0.000244409,0.000299479,0.000544648,9.77E-05,6.08E-05,9.19E-05,7.26E-05,2.07E-05,0.000421574,0.000902065,0.000346461,0.000295048,0.000329175,2.04E-05,0.000567116,0.000550862,0.000199132,0.000819998,2.13E-05,0.000234472,0.000157249,2.44E-05,0.000472301,0.000320243,0.000635987,0.000215794,0.000819729,1.03E-05,2.28E-05,1.16E-05,0.000171949,0.000702402,0.000213362,9.94E-05,0.000488137,0.000112516,0.000155612
Daunorubicin,0.000425776,0.000263002,0.000345995,0.000348068,0.000120888,0.000156025,0.000140387,5.06E-05,9.59E-05,7.83E-05,0.000218242,8.86E-05,4.25E-05,0.000125439,0.000150096,3.57E-05,4.40E-05,0.000514147,0.000107728,0.000157752,0.000136643,2.29E-05,0.000390694,0.0002836,5.76E-05,0.000209903,3.64E-05,0.000147669,4.59E-05,0.000122727,0.000179666,0.000202947,0.000174569,0.000215302,0.000405754,1.61E-05,0.000227192,0.000152786,0.000175032,0.000306345,0.000241657,0.000187377,0.000283512,0.000140756,0.00018363
Digoxin,0.000726782,0.000889682,0.000900454,0.000352054,0.000737323,0.000404756,0.000907451,0.000412517,0.000783175,0.000466583,0.000272739,0.000159467,0.00025028,0.000277307,0.00010889,0.000217939,0.000105088,0.000603607,0.000524986,8.52E-05,0.000356847,0.00018088,0.000281499,0.000356547,0.000259096,0.0001415,0.000194237,9.19E-05,0.000440444,0.000242283,0.000451875,0.000295912,0.000341362,0.000120552,0.000549032,0.000198409,0.000331641,0.000301851,0.00058731,0.000332834,5.55E-05,0.000164281,0.001052172,0.000184882,8.84E-05
Disulfiram,0.000899956,0.000968968,0.001219938,0.000835844,0.000819958,0.00092677,0.001009749,0.000980788,0.001005722,0.000899778,0.000999949,0.000850248,0.000995839,0.000999949,0.001000355,0.00103786,0.00082,0.000419572,0.000851064,0.000938805,0.00031882,0.000721897,0.000721568,0.000472651,0.00049893,0.000297846,0.000959475,0.000612057,0.000844301,0.000892537,0.00072962,0.000762767,0.000945243,0.000750882,0.00083034,0.000706042,0.000628363,0.000415045,0.00077263,0.000904598,0.00072078,0.000644059,0.000736639,0.000931377,0.000892589
Disulfiram + 0.25µM CuSO4,0.000559528,0.001072831,0.000819958,0.000615834,0.000921165,0.00088552,0.001145492,0.000993099,0.000935361,0.001037944,0.0011013,0.00086018,0.000994799,0.001041704,0.00097062,0.001114898,0.001000031,0.000478061,0.000702333,0.000545198,0.000417998,0.000651912,0.000693429,0.000596055,0.000566545,0.000866721,0.001135964,0.000813671,0.000628351,0.000819875,0.000597075,0.000818269,0.001031727,0.000911629,0.000718096,0.00070462,0.001021945,0.00053825,0.000925791,0.000868771,0.000890531,0.001053514,0.001290836,0.000943019,0.00109273
Disulfiram + 0.5µM CuSO4,0.000450925,0.001025893,0.001031737,0.000636599,0.000887771,0.000974352,0.001219937,0.001014222,0.000913936,0.000905957,0.000956356,0.000708229,0.000844726,0.000959639,0.000953004,0.001023352,0.000854606,0.000472442,0.000757735,0.000320714,0.00043937,0.000694405,0.000529374,0.000427084,0.000555438,0.000872132,0.000805973,0.000724691,0.000522977,0.000919748,0.000661984,0.000865842,0.000999107,0.000871286,0.00062202,0.000255842,0.000872754,0.000370039,0.000839204,0.00080051,0.000860486,0.00082,0.001170262,0.000881862,0.000868608
Disulfiram + 1.0µM CuSO4,0.000602513,0.000903673,0.000997164,0.000726722,0.00081576,0.000971665,0.001145182,0.000912857,0.000890525,0.000608628,0.000965152,0.000609614,0.00088566,0.000877552,0.000939448,0.00103184,0.000880578,0.000530348,0.000954502,0.001017128,0.000448963,0.000832862,0.000656498,0.000439423,0.00058197,0.000898447,0.000875056,0.00056974,0.000285897,0.00082,0.000651217,0.000778545,0.001035284,0.000790264,0.000725162,0.000711058,0.00084338,0.000419543,0.000836985,0.00074308,0.00082508,0.00082,0.001419999,0.000894196,0.001054919
Docetaxel,0.000984565,0.00109742,0.001128593,0.000838234,0.000819958,0.000652837,0.000833545,0.000769297,0.000764088,0.000365535,0.001025444,0.000574309,0.000525827,0.000421836,0.000428505,0.000380279,0.000333226,0.000819999,0.000902178,0.00034956,0.000345302,0.000129825,0.00095791,0.001008945,0.000791127,0.000353594,0.000238924,0.000572126,0.00033765,0.000317068,0.000313148,0.000572074,0.000757388,0.000664797,0.000767334,1.72E-05,0.000722358,0.000410279,0.000675857,0.00102365,0.000876777,0.000514778,0.000772158,0.000380867,0.000588079
Doxorubicin,0.000808991,0.000641362,0.00075426,0.00055455,0.000224762,0.000329814,0.000166123,0.000153595,0.000196937,0.000272872,0.000336511,0.000159113,3.38E-05,0.000103412,0.000143525,4.85E-05,0.000241967,0.000819998,0.000343201,0.000472336,0.000375917,2.65E-05,0.000456844,0.000642419,0.000163105,0.000785153,3.50E-05,0.000332343,0.000213392,0.000110955,0.000383052,0.000381615,0.000728859,0.000584047,0.000764995,2.90E-05,8.00E-05,8.45E-05,0.000216662,0.000526179,0.000147196,0.000102293,0.000378496,0.000296205,0.000311925
